white,black,trials,equity,sw,sl,gw,gl,bw,bl
h120-001A-85L--h30-1.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.041, 36638, 39902, 10794, 10759, 802, 1105
h120-001A-85L--h30-2.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0203, 36881, 39229, 11216, 11048, 810, 816
h120-001A-85L--h30-3.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0194, 37233, 39906, 10855, 10737, 718, 551
h120-001A-85L--h30-4.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00759, 37679, 39292, 10904, 10861, 760, 504
h120-001A-85L--h30-5.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0287, 38071, 40613, 9869, 10385, 649, 413
h120-001A-85L--h30-6.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0175, 36201, 39052, 12650, 10776, 803, 518
h120-001A-85L--h30-7.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0302, 37531, 38971, 12011, 10307, 765, 415
h120-001A-85L--h30-8.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0143, 36832, 39109, 12014, 10719, 849, 477
h120-001A-85L--h30-9.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0109, 34212, 39073, 13920, 11341, 859, 595
h120-001A-85L--h30-10.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0233, 36356, 39020, 12583, 10651, 884, 506
h120-001A-85L--h30-11.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.034, 37711, 39016, 11946, 10111, 781, 435
h120-001A-85L--h30-12.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0266, 36997, 38602, 12437, 10648, 773, 543
h120-001A-85L--h30-13.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0289, 36352, 38407, 12903, 10952, 867, 519
h120-001A-85L--h30-14.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0329, 37479, 37725, 12352, 11108, 843, 493
h120-001A-85L--h30-15.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.031, 36416, 38277, 12890, 10933, 916, 568
h120-001A-85L--h30-16.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0467, 37691, 38392, 12380, 10307, 820, 410
h120-001A-85L--h30-17.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.019, 36582, 38579, 12470, 10944, 853, 572
h120-001A-85L--h30-18.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0343, 37793, 38505, 12086, 10350, 745, 521
h120-001A-85L--h30-19.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0352, 37843, 38578, 11970, 10393, 791, 425
h120-001A-85L--h30-20.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0313, 36531, 38224, 13018, 10931, 756, 540
h120-001A-85L--h30-21.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0559, 36588, 38345, 13395, 10332, 874, 466
h120-001A-85L--h30-22.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0394, 38231, 38916, 11725, 9980, 764, 384
h120-001A-85L--h30-23.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0329, 36608, 36989, 13122, 11812, 909, 560
h120-001A-85L--h30-24.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.052, 36980, 37429, 13247, 10907, 880, 557
h120-001A-85L--h30-25.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0359, 36764, 39175, 12684, 10169, 766, 442
h120-001A-85L--h30-26.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0567, 36969, 37369, 13412, 10846, 859, 545
h120-001A-85L--h30-27.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0448, 37180, 38100, 12801, 10462, 849, 608
h120-001A-85L--h30-28.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0611, 36994, 37787, 13412, 10420, 847, 540
h120-001A-85L--h30-29.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0509, 36416, 37905, 13531, 10756, 867, 525
