white,black,trials,equity,sw,sl,gw,gl,bw,bl

h120-001A-85L--h30-63.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.077, 37792, 37930, 13074, 9909, 899, 396
h120-001A-85L--h30-64.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0766, 38393, 37554, 12772, 10027, 849, 405
h120-001A-85L--h30-65.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.068, 38993, 37435, 12306, 10254, 696, 316

h120-34m--h30-66.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0778, 38977, 37347, 12457, 10024, 812, 383
h120-34m--h30-67.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0703, 38104, 36573, 13002, 10923, 923, 475
h120-34m--h30-68.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0792, 37345, 37993, 13550, 9943, 810, 359
h120-34m--h30-69.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0895, 37151, 37030, 14110, 10406, 888, 415
h120-34m--h30-70.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0925, 37494, 36492, 14023, 10653, 920, 418
h120-34m--h30-71.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0864, 37661, 37011, 13720, 10331, 841, 436
h120-34m--h30-72.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0898, 36933, 37187, 14229, 10271, 910, 470
h120-34m--h30-73.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0754, 38418, 37614, 12794, 10004, 778, 392
h120-34m--h30-74.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0883, 37441, 36073, 14084, 11065, 906, 431
h120-34m--h30-75.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0989, 37020, 36218, 14575, 10797, 950, 440
h120-34m--h30-76.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0908, 38190, 36835, 13353, 10337, 924, 361
h120-34m--h30-77.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0854, 37838, 36892, 13561, 10453, 857, 399
h120-34m--h30-78.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.08, 37080, 36932, 13961, 10738, 879, 410
h120-34m--h30-79.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0939, 36937, 36059, 14632, 11051, 886, 435
h120-34m--h30-80.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0878, 37187, 36945, 14088, 10514, 864, 402
h120-34m--h30-81.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0995, 36899, 36223, 14782, 10747, 876, 473
h120-34m--h30-82.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.101, 37408, 36169, 14414, 10677, 893, 439
h120-34m--h30-83.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.105, 38165, 35986, 14076, 10486, 841, 446
h120-34m--h30-84.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0968, 38003, 36896, 13725, 10128, 853, 395
h120-34m--h30-85.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.106, 37718, 36656, 14178, 10119, 895, 434
h120-34m--h30-86.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0953, 38860, 36946, 13062, 9923, 828, 381
h120-34m--h30-87.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0948, 37432, 36698, 14167, 10416, 851, 436
h120-34m--h30-88.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.106, 38502, 36375, 13682, 10184, 867, 390
h120-34m--h30-89.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0987, 36967, 36705, 14617, 10464, 840, 407
h120-34m--h30-90.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0975, 37141, 36709, 14380, 10464, 901, 405
h120-34m--h30-91.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.104, 37874, 36232, 14161, 10504, 847, 382
h120-34m--h30-92.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.1, 38290, 36608, 13648, 10143, 874, 437
h120-34m--h30-93.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.105, 37920, 36389, 14137, 10291, 848, 415
h120-34m--h30-94.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0991, 37502, 36613, 14206, 10412, 873, 394
h120-34m--h30-95.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.104, 37492, 36353, 14420, 10418, 872, 445
h120-34m--h30-96.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0989, 37290, 36456, 14404, 10534, 878, 438
h120-34m--h30-97.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.105, 37748, 35800, 14356, 10762, 895, 439
h120-34m--h30-98.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0998, 38056, 36570, 13814, 10279, 878, 403
h120-34m--h30-99.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.1, 36989, 36696, 14620, 10405, 866, 424
h120-34m--h30-100.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.106, 37744, 36524, 14254, 10208, 850, 420
h120-34m--h30-101.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.103, 37943, 36275, 14088, 10416, 847, 431
h120-34m--h30-102.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.104, 37821, 35990, 14259, 10598, 875, 457
