white,black,trials,equity,sw,sl,gw,gl,bw,bl
h120-a-1.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0998, 36981, 39996, 9273, 11963, 629, 1158
h120-a-2.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0617, 37250, 39921, 9871, 11558, 679, 721
h120-a-3.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0424, 35522, 38966, 11879, 12009, 723, 901
h120-a-4.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0132, 37456, 39225, 10948, 10945, 786, 640
h120-a-5.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0118, 39132, 38817, 9940, 10967, 666, 478
h120-a-6.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0204, 36965, 38531, 11403, 11653, 729, 719
h120-a-7.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00826, 36950, 38811, 11646, 11274, 708, 611
h120-a-8.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0117, 36495, 38694, 12430, 10954, 783, 644
h120-a-9.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00747, 38072, 38904, 11165, 10704, 687, 468
h120-a-10.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0144, 36713, 38975, 12311, 10664, 737, 600
h120-a-11.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0237, 36221, 37661, 13234, 11392, 767, 725
h120-a-12.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0187, 37481, 39200, 11821, 10201, 706, 591
h120-a-13.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0193, 37799, 38190, 11820, 10938, 720, 533
h120-a-14.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0171, 37679, 38458, 11873, 10763, 658, 569
h120-a-15.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0373, 37952, 38488, 12137, 10178, 680, 565
h120-a-16.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0224, 38654, 38245, 11404, 10648, 578, 471
h120-a-17.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0362, 36173, 37580, 13698, 11086, 698, 765
h120-a-18.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0375, 37490, 38302, 12450, 10476, 743, 539
h120-a-19.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0407, 38339, 38419, 11947, 10162, 663, 470
h120-a-20.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0455, 37944, 38090, 12390, 10304, 724, 548
h120-a-21.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0413, 36948, 38649, 12979, 10274, 646, 504
h120-a-22.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0533, 37562, 38014, 12896, 10240, 723, 565
h120-a-23.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0402, 36346, 38074, 13491, 10777, 710, 602
h120-a-24.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.036, 37998, 38791, 11960, 10064, 694, 493
h120-a-25.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.037, 37700, 38161, 12321, 10608, 727, 483
h120-a-26.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0527, 38142, 37531, 12490, 10613, 762, 462
h120-a-27.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0554, 36826, 37557, 13557, 10745, 765, 550
h120-a-28.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0502, 37734, 38124, 12644, 10291, 721, 486
h120-a-29.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0635, 37430, 37588, 13365, 10374, 709, 534
h120-a-30.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.058, 37230, 37806, 13183, 10492, 810, 479
h120-a-31.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0517, 37865, 37986, 12574, 10323, 757, 495
