white,black,trials,equity,sw,sl,gw,gl,bw,bl
h120-1.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0828, 36424, 40619, 9929, 11142, 667, 1219
h120-2.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0538, 36736, 39967, 10506, 11062, 691, 1038
h120-3.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0308, 37256, 40020, 10558, 10618, 741, 807
h120-4.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0232, 37119, 38902, 11127, 11268, 750, 834
h120-5.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0519, 37027, 40040, 10233, 11079, 730, 891
h120-6.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0218, 37851, 38679, 10638, 11428, 740, 664
h120-7.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00647, 37102, 37878, 11764, 11635, 789, 832
h120-8.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00611, 37341, 38699, 11413, 11182, 730, 635
h120-9.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00986, 38037, 38638, 10843, 11229, 691, 562
h120-10.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00617, 38225, 38252, 10878, 11419, 695, 531
h120-11.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0108, 37981, 39492, 10663, 10780, 653, 431
h120-12.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00169, 36675, 38621, 12068, 11255, 772, 609
h120-13.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00546, 37795, 38199, 11479, 11193, 730, 604
h120-14.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0167, 37229, 39668, 11045, 10872, 663, 523
h120-15.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0171, 37577, 38875, 11737, 10598, 729, 484
h120-16.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00462, 37323, 38643, 11692, 11032, 732, 578
h120-17.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0138, 37272, 38601, 11975, 10946, 712, 494
h120-18.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0134, 36182, 37276, 12849, 12147, 945, 601
h120-19.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0119, 36288, 37949, 12737, 11550, 818, 658
h120-20.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00143, 37716, 39801, 11010, 10331, 716, 426
h120-21.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0315, 38641, 38097, 11470, 10594, 742, 456
h120-22.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0344, 37096, 38468, 12505, 10610, 831, 490
h120-23.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0262, 38393, 37819, 11532, 11021, 788, 447
h120-24.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0045, 35982, 39083, 12590, 11098, 718, 529
h120-25.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0351, 36775, 38628, 12758, 10581, 797, 461
h120-26.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0227, 37893, 38207, 11799, 10933, 726, 442
h120-27.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0312, 37706, 37804, 12181, 11062, 787, 460
h120-28.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.038, 37105, 37795, 12693, 11083, 874, 450
h120-29.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0418, 38083, 38633, 11914, 10127, 815, 428
h120-30.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0415, 35479, 37516, 14016, 11444, 947, 598
h120-31.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0366, 37329, 38183, 12507, 10711, 788, 482
h120-32.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0262, 38744, 37952, 11266, 10868, 757, 413
h120-33.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0388, 36284, 37940, 13306, 11118, 869, 483
h120-34.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0316, 37746, 37812, 12133, 11104, 797, 408
h120-35.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0506, 36986, 38284, 12933, 10485, 900, 412
h120-36.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0421, 38662, 38909, 11485, 9843, 746, 355
h120-37.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0504, 38796, 37790, 11803, 10405, 809, 397
h120-38.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0378, 38479, 38085, 11773, 10517, 719, 427
h120-39.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0526, 37914, 37840, 12504, 10514, 815, 413
h120-40.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.046, 37683, 38328, 12467, 10327, 758, 437
h120-41.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0539, 38497, 37631, 12137, 10528, 821, 386
h120-42.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0286, 38964, 38285, 11186, 10494, 668, 403
h120-43.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0577, 37305, 37400, 13215, 10901, 795, 384
h120-44.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0539, 38984, 38010, 11725, 10137, 779, 365
h120-45.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0438, 38390, 38858, 11756, 9893, 739, 364
h120-46.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0495, 39039, 37591, 11647, 10519, 810, 394
h120-47.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0472, 37576, 38218, 12549, 10403, 806, 448
h120-48.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0512, 38337, 37547, 12131, 10692, 888, 405
h120-49.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0626, 37131, 37827, 13327, 10412, 840, 463
h120-50.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0485, 37528, 38384, 12646, 10211, 754, 477
h120-51.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0744, 37501, 37516, 13381, 10336, 861, 405
h120-52.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0722, 37659, 37551, 13241, 10328, 824, 397
h120-53.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0763, 37134, 36987, 13828, 10657, 887, 507
h120-54.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0782, 37758, 37039, 13416, 10470, 860, 457
h120-55.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0635, 38129, 37934, 12625, 10129, 785, 398
h120-56.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.077, 37685, 37160, 13394, 10453, 870, 438
h120-57.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0807, 38276, 36906, 13154, 10432, 826, 406
h120-58.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0749, 38526, 36955, 12815, 10432, 828, 444
h120-59.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0668, 37586, 37735, 13095, 10298, 849, 437
h120-60.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0757, 38142, 37395, 13030, 10176, 814, 443
h120-61.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0808, 37728, 37301, 13365, 10281, 910, 415
h120-62.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0775, 37926, 37221, 13220, 10304, 866, 463
h120-63.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0757, 37481, 37368, 13558, 10335, 798, 460
h120-64.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0824, 37964, 37139, 13398, 10274, 807, 418
h120-65.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0772, 37687, 37147, 13489, 10437, 800, 440
h120-66.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0863, 37570, 36924, 13660, 10441, 960, 445
h120-67.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.081, 37876, 36688, 13454, 10662, 882, 438
h120-68.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0695, 38243, 37466, 12831, 10303, 764, 393
h120-69.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0769, 38746, 36908, 12759, 10412, 781, 394
h120-70.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0763, 38209, 37506, 12891, 10118, 868, 408
h120-71.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.08, 37387, 37363, 13677, 10274, 845, 454
h120-72.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0838, 38062, 36832, 13391, 10450, 843, 422
h120-73.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0845, 37670, 36845, 13702, 10544, 837, 402
h120-74.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0679, 37654, 37436, 13145, 10516, 844, 405
h120-75.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.09, 38369, 36929, 13308, 10132, 832, 430
h120-76.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0826, 38113, 37057, 13200, 10296, 899, 435
h120-77.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0788, 37950, 37121, 13260, 10360, 863, 446
h120-78.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0827, 37423, 37056, 13805, 10451, 831, 434
h120-79.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0814, 38097, 36901, 13253, 10464, 870, 415
h120-80.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0815, 38062, 37038, 13324, 10344, 810, 422
h120-81.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0879, 38215, 36787, 13417, 10366, 817, 398
