white,black,trials,equity,sw,sl,gw,gl,bw,bl
white-1.w, /home/todd/src/backgammon/good.w, 100000, -0.0751, 37510, 39743, 9581, 11264, 632, 1270
white-2.w, /home/todd/src/backgammon/good.w, 100000, -0.0817, 36333, 40798, 9950, 10927, 705, 1287
white-3.w, /home/todd/src/backgammon/good.w, 100000, -0.0464, 37115, 39500, 10498, 10945, 744, 1198
white-4.w, /home/todd/src/backgammon/good.w, 100000, -0.0387, 36160, 38832, 11463, 11916, 765, 864
white-5.w, /home/todd/src/backgammon/good.w, 100000, -0.0492, 36220, 39835, 10853, 11331, 822, 939
white-6.w, /home/todd/src/backgammon/good.w, 100000, -0.00687, 36956, 38983, 11548, 11007, 796, 710
white-7.w, /home/todd/src/backgammon/good.w, 100000, -0.0188, 36646, 39277, 11418, 11174, 787, 698
white-8.w, /home/todd/src/backgammon/good.w, 100000, -0.0107, 36291, 38397, 12072, 11749, 811, 680
white-9.w, /home/todd/src/backgammon/good.w, 100000, -0.00213, 36681, 39040, 11823, 10924, 824, 708
white-10.w, /home/todd/src/backgammon/good.w, 100000, -0.00475, 37384, 39355, 11278, 10599, 715, 669
white-11.w, /home/todd/src/backgammon/good.w, 100000, -0.00698, 35685, 38751, 12465, 11491, 874, 734
white-12.w, /home/todd/src/backgammon/good.w, 100000, -0.00272, 37664, 39202, 11113, 10633, 745, 643
white-13.w, /home/todd/src/backgammon/good.w, 100000, -0.00262, 37080, 39129, 11529, 10913, 767, 582
white-14.w, /home/todd/src/backgammon/good.w, 100000, 0.00032, 36542, 39836, 11825, 10459, 768, 570
white-15.w, /home/todd/src/backgammon/good.w, 100000, 0.0197, 36287, 38259, 12784, 11213, 861, 596
white-16.w, /home/todd/src/backgammon/good.w, 100000, 0.00654, 38036, 38942, 11097, 10689, 742, 494
white-17.w, /home/todd/src/backgammon/good.w, 100000, 0.0103, 37824, 37788, 11546, 11563, 810, 469
white-18.w, /home/todd/src/backgammon/good.w, 100000, 0.00612, 37587, 38621, 11461, 11037, 780, 514
white-19.w, /home/todd/src/backgammon/good.w, 100000, 0.0104, 37453, 38403, 11742, 11142, 762, 498
white-20.w, /home/todd/src/backgammon/good.w, 100000, 0.00993, 38085, 38615, 11170, 10839, 789, 502
white-21.w, /home/todd/src/backgammon/good.w, 100000, 0.0146, 38030, 39067, 11302, 10408, 715, 478
white-22.w, /home/todd/src/backgammon/good.w, 100000, 0.0261, 36689, 37851, 12758, 11230, 855, 617
white-23.w, /home/todd/src/backgammon/good.w, 100000, 0.0383, 36258, 38261, 13264, 10770, 864, 583
white-24.w, /home/todd/src/backgammon/good.w, 100000, 0.0316, 37452, 37881, 12424, 10924, 758, 561
white-25.w, /home/todd/src/backgammon/good.w, 100000, 0.0266, 37830, 37665, 11997, 11166, 809, 533
white-26.w, /home/todd/src/backgammon/good.w, 100000, 0.0319, 37632, 38207, 12124, 10706, 820, 511
white-27.w, /home/todd/src/backgammon/good.w, 100000, 0.0136, 38193, 38306, 11362, 10936, 705, 498
white-28.w, /home/todd/src/backgammon/good.w, 100000, 0.029, 38849, 38447, 11118, 10329, 781, 476
white-29.w, /home/todd/src/backgammon/good.w, 100000, 0.0237, 38201, 37649, 11660, 11212, 793, 485
white-30.w, /home/todd/src/backgammon/good.w, 100000, 0.0327, 38437, 38331, 11606, 10454, 730, 442
white-31.w, /home/todd/src/backgammon/good.w, 100000, 0.0347, 37971, 37639, 12105, 10996, 797, 492
white-32.w, /home/todd/src/backgammon/good.w, 100000, 0.0429, 37450, 37533, 12674, 10975, 847, 521
white-33.w, /home/todd/src/backgammon/good.w, 100000, 0.0103, 37568, 39139, 11515, 10556, 725, 497
white-34.w, /home/todd/src/backgammon/good.w, 100000, 0.00919, 37871, 37998, 11473, 11412, 777, 469
white-35.w, /home/todd/src/backgammon/good.w, 100000, 0.0431, 37882, 37920, 12391, 10598, 732, 477
white-36.w, /home/todd/src/backgammon/good.w, 100000, 0.0217, 36908, 38300, 12417, 11049, 801, 525
white-37.w, /home/todd/src/backgammon/good.w, 100000, 0.0296, 38175, 38517, 11708, 10462, 704, 434
white-38.w, /home/todd/src/backgammon/good.w, 100000, 0.0338, 37475, 37579, 12441, 11173, 824, 508
white-39.w, /home/todd/src/backgammon/good.w, 100000, 0.0368, 36569, 37911, 13160, 10991, 799, 570
white-40.w, /home/todd/src/backgammon/good.w, 100000, 0.028, 36341, 37530, 13241, 11549, 770, 569
white-41.w, /home/todd/src/backgammon/good.w, 100000, 0.0302, 37188, 38227, 12479, 10890, 755, 461
white-42.w, /home/todd/src/backgammon/good.w, 100000, 0.0313, 37887, 38274, 11963, 10668, 758, 450
white-43.w, /home/todd/src/backgammon/good.w, 100000, 0.0355, 37345, 37618, 12586, 11139, 810, 502
white-44.w, /home/todd/src/backgammon/good.w, 100000, 0.041, 38108, 38247, 12012, 10376, 789, 468
white-45.w, /home/todd/src/backgammon/good.w, 100000, 0.0332, 38254, 38275, 11753, 10558, 738, 422
white-46.w, /home/todd/src/backgammon/good.w, 100000, 0.0468, 37903, 37625, 12450, 10739, 805, 478
white-47.w, /home/todd/src/backgammon/good.w, 100000, 0.0407, 38622, 38420, 11621, 10157, 746, 434
white-48.w, /home/todd/src/backgammon/good.w, 100000, 0.044, 38014, 38689, 12087, 10010, 753, 447
white-49.w, /home/todd/src/backgammon/good.w, 100000, 0.0513, 37618, 37717, 12787, 10618, 778, 482
white-50.w, /home/todd/src/backgammon/good.w, 100000, 0.0326, 38791, 38738, 11216, 10080, 744, 431
white-51.w, /home/todd/src/backgammon/good.w, 100000, 0.0413, 38053, 37975, 12217, 10502, 730, 523
white-52.w, /home/todd/src/backgammon/good.w, 100000, 0.0454, 38581, 37512, 11966, 10735, 771, 435
white-53.w, /home/todd/src/backgammon/good.w, 100000, 0.0219, 37749, 38126, 11854, 11008, 777, 486
white-54.w, /home/todd/src/backgammon/good.w, 100000, 0.0432, 38305, 38747, 11856, 9953, 729, 410
white-55.w, /home/todd/src/backgammon/good.w, 100000, 0.042, 38225, 38050, 12051, 10425, 753, 496
white-56.w, /home/todd/src/backgammon/good.w, 100000, 0.0384, 39031, 38204, 11317, 10308, 736, 404
white-57.w, /home/todd/src/backgammon/good.w, 100000, 0.0305, 36421, 37515, 13205, 11501, 802, 556
white-58.w, /home/todd/src/backgammon/good.w, 100000, 0.0502, 37373, 38034, 12804, 10481, 827, 481
white-59.w, /home/todd/src/backgammon/good.w, 100000, 0.0445, 37578, 38624, 12398, 10170, 788, 442
white-60.w, /home/todd/src/backgammon/good.w, 100000, 0.0421, 37340, 38099, 12533, 10618, 895, 515
white-61.w, /home/todd/src/backgammon/good.w, 100000, 0.0447, 37889, 37863, 12431, 10567, 744, 506
white-62.w, /home/todd/src/backgammon/good.w, 100000, 0.0609, 37645, 38103, 12865, 10086, 815, 486
white-63.w, /home/todd/src/backgammon/good.w, 100000, 0.0499, 37166, 38185, 12907, 10462, 826, 454
