white,black,trials,equity,sw,sl,gw,gl,bw,bl
h120-100m-01a-1.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0763, 35940, 40726, 10268, 10994, 804, 1268
h120-100m-01a-2.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0386, 37286, 39641, 10374, 11096, 791, 812
h120-100m-01a-3.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0448, 36888, 38883, 10715, 12284, 724, 506
h120-100m-01a-4.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0521, 38045, 38433, 9874, 12440, 655, 553
h120-100m-01a-5.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0123, 36883, 38698, 11480, 11568, 812, 559
h120-100m-01a-6.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00316, 37101, 38777, 11758, 11020, 758, 586
h120-100m-01a-7.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00072, 37784, 39179, 11060, 10760, 753, 464
h120-100m-01a-8.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0228, 38169, 39132, 10267, 11337, 685, 410
h120-100m-01a-9.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0218, 37893, 39267, 10418, 11381, 707, 334
h120-100m-01a-10.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.00241, 36639, 39405, 11863, 10974, 684, 435
h120-100m-01a-11.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.00373, 37960, 38560, 11025, 11348, 699, 408
h120-100m-01a-12.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0198, 37674, 37860, 11992, 11192, 736, 546
h120-100m-01a-13.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0167, 39057, 38979, 10522, 10411, 743, 288
h120-100m-01a-14.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0328, 37466, 38120, 12314, 10901, 784, 415
h120-100m-01a-15.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0265, 38522, 37882, 11398, 10969, 806, 423
h120-100m-01a-16.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0242, 35800, 38206, 13373, 11440, 751, 430
h120-100m-01a-17.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0378, 37579, 37824, 12510, 11025, 707, 355
h120-100m-01a-18.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0285, 38041, 38375, 11776, 10689, 728, 391
h120-100m-01a-19.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0372, 38809, 37814, 11495, 10764, 769, 349
h120-100m-01a-20.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0371, 37756, 37764, 12330, 11065, 741, 344
h120-100m-01a-21.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0318, 37794, 37654, 12173, 11225, 768, 386
h120-100m-01a-22.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0469, 37034, 37541, 13186, 11011, 756, 472
h120-100m-01a-23.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0409, 38824, 37653, 11665, 10762, 733, 363
h120-100m-01a-24.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0457, 37685, 38069, 12478, 10641, 776, 351
h120-100m-01a-25.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0431, 37254, 38258, 12748, 10583, 742, 415
h120-100m-01a-26.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0523, 37335, 37440, 13023, 10987, 818, 397
h120-100m-01a-27.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0674, 37786, 37598, 13046, 10409, 794, 367
h120-100m-01a-28.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0476, 38054, 38078, 12259, 10500, 765, 344
h120-100m-01a-29.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0488, 37712, 37010, 12821, 11295, 769, 393
h120-100m-01a-30.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0667, 36039, 37988, 14082, 10568, 927, 396
h120-100m-01a-31.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0621, 37882, 37542, 12968, 10498, 710, 400
h120-100m-01a-32.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0606, 37956, 37511, 12850, 10600, 727, 356
h120-100m-01a-33.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0619, 37862, 38110, 12774, 10205, 742, 307
h120-100m-01a-34.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0665, 37904, 37595, 12988, 10395, 751, 367
h120-100m-01a-35.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.065, 36578, 37648, 13854, 10671, 825, 424
h120-100m-01a-36.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0676, 37568, 36994, 13348, 10840, 820, 430
h120-100m-01a-37.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0713, 38202, 37048, 12984, 10626, 780, 360
h120-100m-01a-38.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0663, 36754, 37080, 13943, 10980, 793, 450
h120-100m-01a-39.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0704, 38035, 37351, 12938, 10474, 839, 363
