white,black,trials,equity,sw,sl,gw,gl,bw,bl
h60-50m-b-1.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0767, 38023, 40001, 8898, 11903, 640, 535
h60-50m-b-2.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0944, 35460, 39227, 10616, 13123, 678, 896
h60-50m-b-3.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0529, 38374, 41614, 8939, 10166, 521, 386
h60-50m-b-4.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.00544, 37344, 39879, 11051, 10423, 774, 529
h60-50m-b-5.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0241, 35887, 40115, 11772, 10872, 680, 674
h60-50m-b-6.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.022, 37505, 38419, 10953, 11584, 766, 773
h60-50m-b-7.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.00917, 36077, 40014, 12015, 10208, 744, 942
h60-50m-b-8.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0128, 36156, 40290, 12397, 9258, 805, 1094
h60-50m-b-9.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.024, 38472, 39041, 11156, 9721, 821, 789
h60-50m-b-10.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.00063, 36240, 40478, 11900, 9703, 803, 876
