white,black,trials,equity,sw,sl,gw,gl,bw,bl
h60-50m-b-1.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.084, 34938, 40594, 10808, 11454, 861, 1345
h60-50m-b-2.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0391, 37202, 40580, 10332, 10303, 694, 889
h60-50m-b-3.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0113, 36354, 39721, 11755, 10431, 801, 938
h60-50m-b-4.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0288, 37240, 39620, 10520, 10873, 908, 839
h60-50m-b-5.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0157, 38213, 38758, 11141, 10189, 884, 815
h60-50m-b-6.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00023, 38468, 40262, 10377, 9524, 703, 666
h60-50m-b-7.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00906, 37781, 39771, 11118, 10000, 775, 555
h60-50m-b-8.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00336, 37902, 39594, 10929, 10239, 776, 560
h60-50m-b-9.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00976, 36821, 38359, 12172, 11038, 846, 764
h60-50m-b-10.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0255, 36158, 39737, 12755, 9918, 792, 640
h60-50m-b-11.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00935, 37455, 39452, 11412, 10369, 797, 515
h60-50m-b-12.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0238, 37671, 38106, 12004, 10885, 764, 570
h60-50m-b-13.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0118, 38253, 38143, 11209, 11081, 793, 521
h60-50m-b-14.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0233, 37641, 39417, 11659, 10139, 749, 395
h60-50m-b-15.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.027, 38629, 38859, 11240, 10111, 692, 469
h60-50m-b-16.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0285, 38428, 37425, 11662, 11230, 791, 464
h60-50m-b-17.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0278, 37392, 38320, 12379, 10676, 667, 566
h60-50m-b-18.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0381, 37547, 37666, 12565, 10914, 759, 549
h60-50m-b-19.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0332, 38068, 37806, 12056, 10835, 720, 515
h60-50m-b-20.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0293, 38406, 38756, 11454, 10225, 716, 443
h60-50m-b-21.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.037, 38016, 39225, 11863, 9688, 698, 510
h60-50m-b-22.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.039, 39052, 38834, 11238, 9834, 667, 375
h60-50m-b-23.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0235, 38142, 38378, 11646, 10630, 694, 510
h60-50m-b-24.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0291, 36901, 38222, 12780, 10758, 700, 639
h60-50m-b-25.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0546, 38005, 38203, 12439, 10181, 777, 395
h60-50m-b-26.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0431, 37456, 38543, 12423, 10309, 830, 439
h60-50m-b-27.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0462, 38391, 37833, 11984, 10465, 835, 492
h60-50m-b-28.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0342, 36833, 38263, 12797, 10728, 808, 571
h60-50m-b-29.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0461, 38148, 37925, 12316, 10400, 698, 513
h60-50m-b-30.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0467, 37592, 38282, 12566, 10366, 757, 437
h60-50m-b-31.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0534, 38044, 38786, 12232, 9751, 780, 407
h60-50m-b-32.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0449, 37653, 38599, 12432, 10105, 735, 476
h60-50m-b-33.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0646, 38241, 37651, 12645, 10245, 788, 430
h60-50m-b-34.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0541, 37425, 38312, 12845, 10177, 781, 460
h60-50m-b-35.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0494, 38230, 37750, 12292, 10504, 759, 465
h60-50m-b-36.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.055, 36678, 38359, 13448, 10256, 763, 496
h60-50m-b-37.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0525, 38260, 37865, 12407, 10343, 684, 441
h60-50m-b-38.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0523, 38057, 37900, 12491, 10375, 729, 448
h60-50m-b-39.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0611, 37671, 38144, 12876, 10026, 789, 494
h60-50m-b-40.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0638, 37085, 37505, 13520, 10567, 810, 513
